6 6 0 0 0 0 0 0 0,0 0,0 0,0 0,0 0 0 0,0 0,0 25/10/2022 15 15 23 0,0 0,0
6 27 0 0 0 0 0 0 0,0 0,0 0,0 0,0 0 0 0,0 0,0 25/10/2022 15 25 59 45,4720798 9,2272111
6 27 29,0 51,0 100609 669 929 0,01 0,0 14,0 15,0 16,0 1 1 1,0 1,0 25/10/2022 15 26 3 45,4720991 9,2272233
6 28 29,0 51,0 100609 910 891 0,01 0,0 10,0 11,0 12,0 1 2 2,0 2,0 25/10/2022 15 26 27 45,4720466 9,2272993
6 29 29,0 51,0 100609 999 855 0,01 0,0 11,0 11,0 11,0 1 2 2,0 2,0 25/10/2022 15 26 50 45,4720281 9,2273093
6 30 29,0 51,0 100609 1038 855 0,01 0,0 11,0 11,0 11,0 1 2 1,0 2,0 25/10/2022 15 27 14 45,4719765 9,22738
6 32 29,0 51,0 100609 1072 834 0,01 0,0 0,0 0,0 0,0 0 1 1,0 0,0 25/10/2022 15 27 40 45,4719348 9,2273971
6 32 30,0 51,0 100610 1078 858 0,01 0,0 11,0 11,0 11,0 1 2 2,0 2,0 25/10/2022 15 28 0 45,4719882 9,2272024
6 33 30,0 51,0 100610 1078 875 0,01 0,0 11,0 11,0 11,0 1 2 2,0 2,0 25/10/2022 15 28 28 45,4719641 9,2273529
6 34 30,0 51,0 100610 1103 854 0,01 0,0 11,0 12,0 14,0 1 1 1,0 1,0 25/10/2022 15 28 52 45,4719617 9,2273667
6 35 30,0 50,0 100610 1110 858 0,01 0,0 11,0 12,0 13,0 1 1 1,0 1,0 25/10/2022 15 29 26 45,4719735 9,2273342
6 36 30,0 50,0 100610 1096 877 0,01 0,0 11,0 12,0 13,0 1 2 3,0 3,0 25/10/2022 15 29 42 45,4719833 9,2273624
6 37 30,0 50,0 100610 1106 831 0,01 0,0 7,0 8,0 8,0 1 2 1,0 2,0 25/10/2022 15 30 14 45,4719345 9,2273212
6 38 30,0 50,0 100610 1111 818 0,01 0,0 10,0 11,0 11,0 1 1 2,0 1,0 25/10/2022 15 30 44 45,4719344 9,2272419
