[01] , [5B] , [00] , [00] , [5E] , [30] , [41] , [EC] , 25:10:15:25:54:108
[02] , [5A] , [00] , [00] , [05] , [6E] , [23] , [CE] , 25:10:15:25:54:142
[03] , [5A] , [00] , [00] , [F3] , [74] , [EF] , [D2] , 25:10:15:25:54:175
[01] , [5B] , [00] , [00] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:54:242
[02] , [5A] , [00] , [01] , [F1] , [74] , [02] , [CF] , 25:10:15:25:54:275
[03] , [5A] , [00] , [01] , [F3] , [74] , [EF] , [D2] , 25:10:15:25:54:309
[01] , [5B] , [00] , [02] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:54:375
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:54:508
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:54:508
[01] , [5B] , [00] , [03] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:54:508
[02] , [5A] , [00] , [03] , [F2] , [74] , [03] , [CF] , 25:10:15:25:54:541
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:54:641
[01] , [5B] , [00] , [04] , [0A] , [6E] , [1B] , [C9] , 25:10:15:25:54:641
[02] , [5A] , [00] , [05] , [F1] , [73] , [03] , [CF] , 25:10:15:25:54:675
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:54:774
[01] , [5B] , [00] , [06] , [0B] , [6E] , [1B] , [CA] , 25:10:15:25:54:774
[02] , [5A] , [00] , [06] , [F1] , [73] , [02] , [CF] , 25:10:15:25:54:808
[03] , [5B] , [00] , [06] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:54:841
[01] , [5A] , [00] , [07] , [0B] , [6E] , [1A] , [C9] , 25:10:15:25:54:908
[02] , [5A] , [00] , [07] , [F1] , [73] , [02] , [CF] , 25:10:15:25:54:941
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:55:041
[01] , [5A] , [00] , [08] , [0B] , [6E] , [1A] , [CA] , 25:10:15:25:55:041
[02] , [5A] , [00] , [09] , [F1] , [74] , [02] , [CF] , 25:10:15:25:55:075
[03] , [5A] , [00] , [09] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:55:107
[01] , [5B] , [00] , [0A] , [0B] , [6E] , [1A] , [CA] , 25:10:15:25:55:174
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:55:240
[03] , [5A] , [00] , [0A] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:55:240
[01] , [5A] , [00] , [0B] , [0B] , [6E] , [1A] , [C9] , 25:10:15:25:55:307
[02] , [5A] , [00] , [0B] , [F1] , [73] , [02] , [CF] , 25:10:15:25:55:341
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:55:441
[01] , [5A] , [00] , [0C] , [0B] , [6E] , [1A] , [C9] , 25:10:15:25:55:441
[02] , [5A] , [00] , [0D] , [F1] , [74] , [02] , [CF] , 25:10:15:25:55:475
[03] , [5A] , [00] , [0D] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:55:507
[01] , [5B] , [00] , [0E] , [0B] , [6E] , [1B] , [CA] , 25:10:15:25:55:574
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:55:640
[03] , [5A] , [00] , [0E] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:55:640
[01] , [5A] , [00] , [0F] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:55:707
[02] , [5A] , [00] , [0F] , [F1] , [74] , [02] , [CF] , 25:10:15:25:55:740
[03] , [5A] , [00] , [10] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:55:773
[01] , [5B] , [00] , [10] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:55:840
[02] , [5A] , [00] , [11] , [F1] , [74] , [02] , [CF] , 25:10:15:25:55:873
[03] , [5A] , [00] , [11] , [F4] , [74] , [F0] , [D2] , 25:10:15:25:55:907
[01] , [5A] , [00] , [12] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:55:973
[02] , [5A] , [00] , [12] , [F1] , [74] , [01] , [CF] , 25:10:15:25:56:006
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:56:107
