[03] , [5B] , [00] , [D7] , [1C] , [6B] , [33] , [E0] , 25:10:15:53:08:010
[01] , [5B] , [00] , [D7] , [B7] , [B0] , [E0] , [38] , 25:10:15:53:08:077
[02] , [5B] , [00] , [D8] , [FE] , [93] , [F0] , [3E] , 25:10:15:53:08:110
[03] , [5B] , [00] , [D8] , [1A] , [6C] , [33] , [E0] , 25:10:15:53:08:144
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:08:243
[02] , [5B] , [00] , [D9] , [00] , [93] , [F0] , [3D] , 25:10:15:53:08:243
[03] , [5B] , [00] , [D9] , [19] , [6C] , [32] , [DF] , 25:10:15:53:08:277
[01] , [5B] , [00] , [DA] , [B9] , [B0] , [DE] , [38] , 25:10:15:53:08:343
[02] , [5A] , [00] , [DA] , [00] , [92] , [EF] , [3C] , 25:10:15:53:08:377
[03] , [5B] , [00] , [DB] , [16] , [6D] , [31] , [DE] , 25:10:15:53:08:410
[01] , [5B] , [00] , [DB] , [B9] , [AF] , [DD] , [39] , 25:10:15:53:08:477
[02] , [5B] , [00] , [DC] , [02] , [91] , [EF] , [39] , 25:10:15:53:08:510
[03] , [5B] , [00] , [DC] , [15] , [6E] , [30] , [DD] , 25:10:15:53:08:543
[01] , [5B] , [00] , [DD] , [BB] , [AF] , [DC] , [39] , 25:10:15:53:08:610
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:08:743
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:08:743
[01] , [5C] , [00] , [DE] , [BB] , [AF] , [DC] , [3A] , 25:10:15:53:08:743
[02] , [5B] , [00] , [DE] , [06] , [90] , [F0] , [39] , 25:10:15:53:08:776
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:08:843
[01] , [5B] , [00] , [DF] , [BC] , [AF] , [DC] , [3B] , 25:10:15:53:08:876
[02] , [5A] , [00] , [E0] , [11] , [90] , [F3] , [36] , 25:10:15:53:08:943
[03] , [5B] , [00] , [E0] , [06] , [71] , [29] , [D9] , 25:10:15:53:08:976
[01] , [5B] , [00] , [E1] , [C2] , [AC] , [DD] , [3D] , 25:10:15:53:09:043
[02] , [5B] , [00] , [E1] , [16] , [90] , [F5] , [34] , 25:10:15:53:09:076
[03] , [5C] , [00] , [E2] , [02] , [72] , [22] , [D7] , 25:10:15:53:09:109
[01] , [5B] , [00] , [E2] , [C5] , [AA] , [DD] , [3D] , 25:10:15:53:09:176
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:09:242
[03] , [5B] , [00] , [E3] , [02] , [72] , [22] , [D6] , 25:10:15:53:09:242
[01] , [5C] , [00] , [E4] , [C5] , [A9] , [DD] , [3C] , 25:10:15:53:09:309
[02] , [5B] , [00] , [E4] , [16] , [8F] , [F7] , [33] , 25:10:15:53:09:342
[03] , [5B] , [00] , [E4] , [04] , [72] , [22] , [D7] , 25:10:15:53:09:376
[01] , [5B] , [00] , [E5] , [C4] , [A9] , [DD] , [3B] , 25:10:15:53:09:442
[02] , [5B] , [00] , [E5] , [14] , [8F] , [F6] , [33] , 25:10:15:53:09:476
[03] , [5B] , [00] , [E6] , [06] , [73] , [22] , [D8] , 25:10:15:53:09:509
[01] , [5B] , [00] , [E6] , [C4] , [A9] , [DD] , [3A] , 25:10:15:53:09:576
[02] , [5B] , [00] , [E7] , [14] , [8F] , [F6] , [33] , 25:10:15:53:09:609
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:09:709
[01] , [5B] , [00] , [E8] , [C5] , [A8] , [DC] , [3B] , 25:10:15:53:09:709
[02] , [5B] , [00] , [E8] , [15] , [8E] , [F7] , [32] , 25:10:15:53:09:742
[03] , [5B] , [00] , [E8] , [05] , [73] , [20] , [D8] , 25:10:15:53:09:775
[01] , [5B] , [00] , [E9] , [C7] , [A8] , [DC] , [3B] , 25:10:15:53:09:842
[02] , [5B] , [00] , [E9] , [15] , [8E] , [F7] , [32] , 25:10:15:53:09:875
[03] , [5B] , [00] , [EA] , [03] , [74] , [1D] , [D7] , 25:10:15:53:09:909
[01] , [5B] , [00] , [EA] , [C8] , [A7] , [DC] , [3B] , 25:10:15:53:09:975
[02] , [5B] , [00] , [EB] , [17] , [8E] , [F8] , [31] , 25:10:15:53:10:009
[03] , [5B] , [00] , [EB] , [02] , [74] , [1B] , [D7] , 25:10:15:53:10:042
[01] , [5B] , [00] , [EC] , [CC] , [A5] , [DD] , [3C] , 25:10:15:53:10:109
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:10:175
[03] , [5B] , [00] , [EC] , [02] , [74] , [1A] , [D6] , 25:10:15:53:10:175
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:10:275
[02] , [5B] , [00] , [ED] , [17] , [8E] , [F9] , [30] , 25:10:15:53:10:275
[03] , [5B] , [00] , [EE] , [01] , [74] , [19] , [D6] , 25:10:15:53:10:308
