[01] , [5B] , [00] , [AF] , [75] , [E9] , [27] , [F9] , 25:10:16:06:43:014
[02] , [5B] , [00] , [AF] , [5D] , [11] , [4A] , [DA] , 25:10:16:06:43:047
[03] , [5B] , [00] , [B0] , [B0] , [E4] , [A5] , [14] , 25:10:16:06:43:081
[01] , [5C] , [00] , [B0] , [75] , [E8] , [28] , [F9] , 25:10:16:06:43:147
[02] , [5B] , [00] , [B1] , [5B] , [11] , [4D] , [DB] , 25:10:16:06:43:181
[03] , [5B] , [00] , [B1] , [B1] , [E3] , [A4] , [15] , 25:10:16:06:43:214
[01] , [5B] , [00] , [B2] , [74] , [E7] , [2A] , [F9] , 25:10:16:06:43:281
[02] , [5B] , [00] , [B2] , [5A] , [11] , [4E] , [DB] , 25:10:16:06:43:314
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:43:414
[01] , [5B] , [00] , [B3] , [74] , [E6] , [2B] , [FA] , 25:10:16:06:43:414
[02] , [5B] , [00] , [B3] , [59] , [11] , [4F] , [DC] , 25:10:16:06:43:447
[03] , [5B] , [00] , [B4] , [B5] , [E1] , [A2] , [16] , 25:10:16:06:43:481
[01] , [5B] , [00] , [B4] , [73] , [E6] , [2B] , [FA] , 25:10:16:06:43:547
[02] , [5B] , [00] , [B5] , [58] , [11] , [51] , [DC] , 25:10:16:06:43:580
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:43:681
[01] , [5B] , [00] , [B6] , [73] , [E5] , [2D] , [FC] , 25:10:16:06:43:681
[02] , [5B] , [00] , [B6] , [58] , [11] , [51] , [DC] , 25:10:16:06:43:714
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:43:780
[01] , [5B] , [00] , [B7] , [72] , [E4] , [2F] , [FD] , 25:10:16:06:43:814
[02] , [5B] , [00] , [B7] , [57] , [11] , [52] , [DC] , 25:10:16:06:43:847
[03] , [5B] , [00] , [B8] , [B9] , [E0] , [A0] , [18] , 25:10:16:06:43:880
[01] , [5C] , [00] , [B8] , [71] , [E5] , [30] , [FE] , 25:10:16:06:43:947
[02] , [5B] , [00] , [B9] , [57] , [11] , [53] , [DE] , 25:10:16:06:43:980
[03] , [5C] , [00] , [B9] , [BB] , [DF] , [9F] , [19] , 25:10:16:06:44:013
[01] , [5B] , [00] , [BA] , [70] , [E5] , [34] , [00] , 25:10:16:06:44:080
[02] , [5B] , [00] , [BA] , [57] , [11] , [53] , [DF] , 25:10:16:06:44:113
[03] , [5B] , [00] , [BA] , [BC] , [E0] , [9E] , [1B] , 25:10:16:06:44:147
[01] , [5B] , [00] , [BB] , [6F] , [E7] , [36] , [00] , 25:10:16:06:44:213
[02] , [5B] , [00] , [BB] , [57] , [11] , [53] , [E0] , 25:10:16:06:44:247
[03] , [5B] , [00] , [BC] , [BE] , [DE] , [9E] , [1E] , 25:10:16:06:44:280
[01] , [5B] , [00] , [BC] , [6F] , [E8] , [38] , [01] , 25:10:16:06:44:347
[02] , [5B] , [00] , [BD] , [57] , [11] , [55] , [E3] , 25:10:16:06:44:380
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:44:480
[01] , [5B] , [00] , [BE] , [6E] , [EC] , [3A] , [01] , 25:10:16:06:44:480
[02] , [5B] , [00] , [BE] , [56] , [12] , [55] , [E2] , 25:10:16:06:44:513
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:44:580
[01] , [5B] , [00] , [BF] , [6F] , [F0] , [39] , [FF] , 25:10:16:06:44:613
[02] , [5B] , [00] , [BF] , [54] , [14] , [56] , [DF] , 25:10:16:06:44:646
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:44:747
[01] , [5C] , [00] , [C0] , [70] , [F5] , [39] , [F9] , 25:10:16:06:44:747
[02] , [5B] , [00] , [C1] , [4D] , [1C] , [57] , [D7] , 25:10:16:06:44:780
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:44:880
[01] , [5B] , [00] , [C2] , [6F] , [00] , [39] , [EA] , 25:10:16:06:44:880
[02] , [5B] , [00] , [C2] , [48] , [20] , [58] , [D4] , 25:10:16:06:44:913
[03] , [5C] , [00] , [C2] , [CF] , [C9] , [A4] , [2D] , 25:10:16:06:44:946
[01] , [5B] , [00] , [C3] , [6D] , [06] , [39] , [E4] , 25:10:16:06:45:013
[02] , [5B] , [00] , [C5] , [3D] , [2B] , [59] , [CF] , 25:10:16:06:45:179
[03] , [5B] , [00] , [C5] , [D6] , [BF] , [AC] , [35] , 25:10:16:06:45:213
[01] , [5B] , [00] , [C6] , [68] , [0D] , [3A] , [D9] , 25:10:16:06:45:279
[02] , [5B] , [00] , [C6] , [38] , [2D] , [5A] , [CD] , 25:10:16:06:45:313
