[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:29:080
[01] , [5C] , [00] , [F6] , [2D] , [62] , [25] , [C9] , 25:10:16:20:29:080
[02] , [5B] , [00] , [F6] , [FF] , [6B] , [23] , [C8] , 25:10:16:20:29:113
[03] , [5B] , [00] , [F7] , [FC] , [87] , [FF] , [25] , 25:10:16:20:29:147
[01] , [5B] , [00] , [F7] , [2C] , [62] , [26] , [C9] , 25:10:16:20:29:213
[02] , [5B] , [00] , [F8] , [FD] , [6C] , [21] , [C7] , 25:10:16:20:29:246
[03] , [5B] , [00] , [F8] , [FD] , [87] , [00] , [25] , 25:10:16:20:29:280
[01] , [5B] , [00] , [F9] , [2A] , [62] , [26] , [C9] , 25:10:16:20:29:346
[02] , [5B] , [00] , [F9] , [FD] , [6C] , [21] , [C7] , 25:10:16:20:29:380
[03] , [5C] , [00] , [F9] , [FE] , [87] , [00] , [25] , 25:10:16:20:29:413
[01] , [5B] , [00] , [FA] , [29] , [62] , [27] , [C9] , 25:10:16:20:29:480
[02] , [5B] , [00] , [FA] , [FC] , [6C] , [20] , [C8] , 25:10:16:20:29:513
[03] , [5C] , [00] , [FB] , [00] , [87] , [01] , [25] , 25:10:16:20:29:546
[01] , [5C] , [00] , [FB] , [28] , [62] , [28] , [C8] , 25:10:16:20:29:613
[02] , [5B] , [00] , [FC] , [FB] , [6D] , [1F] , [C8] , 25:10:16:20:29:646
[03] , [5C] , [00] , [FC] , [01] , [87] , [03] , [25] , 25:10:16:20:29:680
[01] , [5B] , [00] , [FD] , [26] , [62] , [29] , [C8] , 25:10:16:20:29:746
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:29:813
[03] , [5C] , [00] , [FD] , [03] , [87] , [04] , [25] , 25:10:16:20:29:813
[01] , [5C] , [00] , [FE] , [25] , [62] , [29] , [C7] , 25:10:16:20:29:880
[02] , [5B] , [00] , [FE] , [FA] , [6E] , [1D] , [C9] , 25:10:16:20:29:913
[03] , [5B] , [00] , [FF] , [06] , [87] , [07] , [24] , 25:10:16:20:29:946
[01] , [5B] , [00] , [FF] , [23] , [63] , [2A] , [C7] , 25:10:16:20:30:013
[02] , [5B] , [00] , [00] , [F9] , [6F] , [1B] , [CA] , 25:10:16:20:30:046
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:30:146
[01] , [5B] , [00] , [01] , [21] , [63] , [29] , [C7] , 25:10:16:20:30:146
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:30:213
[03] , [5B] , [00] , [01] , [09] , [88] , [09] , [24] , 25:10:16:20:30:213
[01] , [5C] , [00] , [02] , [21] , [64] , [2A] , [C7] , 25:10:16:20:30:280
[02] , [5B] , [00] , [02] , [F8] , [6F] , [1A] , [CB] , 25:10:16:20:30:313
[03] , [5B] , [00] , [03] , [0A] , [88] , [0C] , [24] , 25:10:16:20:30:346
[01] , [5B] , [00] , [03] , [20] , [64] , [2A] , [C7] , 25:10:16:20:30:413
[02] , [5B] , [00] , [04] , [F8] , [6E] , [1A] , [C9] , 25:10:16:20:30:446
[03] , [5B] , [00] , [04] , [0B] , [88] , [0D] , [24] , 25:10:16:20:30:480
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:30:580
[02] , [5C] , [00] , [05] , [F8] , [6E] , [1A] , [C9] , 25:10:16:20:30:580
[03] , [5C] , [00] , [05] , [0C] , [88] , [0F] , [24] , 25:10:16:20:30:613
[01] , [5B] , [00] , [06] , [1E] , [64] , [29] , [C7] , 25:10:16:20:30:679
[02] , [5B] , [00] , [06] , [F8] , [6E] , [1A] , [C9] , 25:10:16:20:30:713
[03] , [5B] , [00] , [07] , [0E] , [89] , [11] , [23] , 25:10:16:20:30:746
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:30:912
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:30:912
[03] , [5C] , [00] , [08] , [0F] , [89] , [13] , [23] , 25:10:16:20:30:912
[01] , [5B] , [00] , [09] , [1B] , [65] , [29] , [C6] , 25:10:16:20:30:980
[02] , [5B] , [00] , [09] , [F5] , [6E] , [1B] , [C9] , 25:10:16:20:31:013
[03] , [5B] , [00] , [0A] , [10] , [8A] , [16] , [22] , 25:10:16:20:31:046
[01] , [5C] , [00] , [0A] , [1A] , [65] , [29] , [C6] , 25:10:16:20:31:113
[02] , [5B] , [00] , [0B] , [F4] , [6E] , [1A] , [C8] , 25:10:16:20:31:146
