[01] , [5B] , [00] , [E9] , [10] , [6B] , [24] , [CA] , 25:10:16:42:13:001
[02] , [5B] , [00] , [E9] , [D0] , [6A] , [E1] , [DA] , 25:10:16:42:13:034
[03] , [5C] , [00] , [E9] , [10] , [8C] , [1F] , [24] , 25:10:16:42:13:068
[01] , [5B] , [00] , [EA] , [10] , [6B] , [24] , [C9] , 25:10:16:42:13:134
[02] , [5C] , [00] , [EB] , [D1] , [6B] , [E3] , [D9] , 25:10:16:42:13:167
[03] , [5B] , [00] , [EB] , [10] , [8C] , [1F] , [24] , 25:10:16:42:13:201
[01] , [5B] , [00] , [EC] , [10] , [6B] , [24] , [CA] , 25:10:16:42:13:267
[02] , [5B] , [00] , [EC] , [D2] , [6B] , [E4] , [D9] , 25:10:16:42:13:301
[03] , [5B] , [00] , [EC] , [10] , [8C] , [1F] , [25] , 25:10:16:42:13:334
[01] , [5B] , [00] , [ED] , [10] , [6B] , [25] , [CA] , 25:10:16:42:13:401
[02] , [5B] , [00] , [ED] , [D3] , [6B] , [E4] , [D9] , 25:10:16:42:13:435
[03] , [5B] , [00] , [ED] , [10] , [8C] , [1F] , [25] , 25:10:16:42:13:468
[01] , [5C] , [00] , [EE] , [10] , [6B] , [25] , [CA] , 25:10:16:42:13:534
[02] , [5B] , [00] , [EF] , [D3] , [6C] , [E6] , [D8] , 25:10:16:42:13:568
[03] , [5B] , [00] , [EF] , [10] , [8C] , [1F] , [25] , 25:10:16:42:13:601
[01] , [5B] , [00] , [F0] , [0F] , [6B] , [25] , [CA] , 25:10:16:42:13:667
[02] , [5B] , [00] , [F0] , [D3] , [6C] , [E7] , [D8] , 25:10:16:42:13:701
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:13:800
[01] , [5B] , [00] , [F1] , [0F] , [6B] , [25] , [CA] , 25:10:16:42:13:800
[02] , [5B] , [00] , [F1] , [D4] , [6C] , [E8] , [D8] , 25:10:16:42:13:834
[03] , [5B] , [00] , [F1] , [10] , [8D] , [1F] , [25] , 25:10:16:42:13:867
[01] , [5B] , [00] , [F2] , [0F] , [6B] , [25] , [CA] , 25:10:16:42:13:934
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:14:000
[03] , [5B] , [00] , [F3] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:14:000
[01] , [5B] , [00] , [F4] , [0E] , [6B] , [25] , [CA] , 25:10:16:42:14:067
[02] , [5B] , [00] , [F4] , [D4] , [6D] , [E9] , [D7] , 25:10:16:42:14:100
[03] , [5C] , [00] , [F4] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:14:134
[01] , [5B] , [00] , [F5] , [0E] , [6B] , [25] , [CA] , 25:10:16:42:14:200
[02] , [5B] , [00] , [F5] , [D5] , [6D] , [EA] , [D7] , 25:10:16:42:14:234
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:14:333
[01] , [5C] , [00] , [F6] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:14:333
[02] , [5B] , [00] , [F7] , [D5] , [6D] , [EA] , [D7] , 25:10:16:42:14:367
[03] , [5B] , [00] , [F7] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:14:400
[01] , [5B] , [00] , [F8] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:14:467
[02] , [5B] , [00] , [F8] , [D6] , [6D] , [EB] , [D7] , 25:10:16:42:14:500
[03] , [5B] , [00] , [F8] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:14:534
[01] , [5C] , [00] , [F9] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:14:600
[02] , [5C] , [00] , [F9] , [D6] , [6E] , [EB] , [D7] , 25:10:16:42:14:633
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:14:733
[01] , [5B] , [00] , [FA] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:14:733
[02] , [5B] , [00] , [FB] , [D7] , [6E] , [EC] , [D6] , 25:10:16:42:14:767
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:14:867
[01] , [5B] , [00] , [FC] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:14:867
[02] , [5B] , [00] , [FC] , [D8] , [6E] , [ED] , [D6] , 25:10:16:42:14:900
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:15:000
[01] , [5B] , [00] , [FD] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:15:000
[02] , [5B] , [00] , [FD] , [D9] , [6F] , [ED] , [D6] , 25:10:16:42:15:033
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:15:133
[01] , [5C] , [00] , [FE] , [0E] , [6B] , [25] , [CA] , 25:10:16:42:15:133
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:15:200
[03] , [5B] , [00] , [FF] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:15:200
[01] , [5B] , [00] , [00] , [0E] , [6B] , [25] , [CA] , 25:10:16:42:15:267
[02] , [5B] , [00] , [00] , [DA] , [6F] , [EF] , [D6] , 25:10:16:42:15:300
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:15:366
[01] , [5B] , [00] , [01] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:15:400
[02] , [5B] , [00] , [01] , [DA] , [6F] , [F0] , [D5] , 25:10:16:42:15:433
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:15:533
[01] , [5C] , [00] , [02] , [0D] , [6C] , [24] , [CA] , 25:10:16:42:15:533
[02] , [5B] , [00] , [03] , [DB] , [70] , [F1] , [D5] , 25:10:16:42:15:566
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:15:666
[01] , [5B] , [00] , [04] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:15:666
[02] , [5B] , [00] , [04] , [DB] , [70] , [F1] , [D5] , 25:10:16:42:15:700
[03] , [5B] , [00] , [04] , [0F] , [8C] , [1E] , [26] , 25:10:16:42:15:733
[01] , [5B] , [00] , [05] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:15:800
[02] , [5B] , [00] , [05] , [DB] , [70] , [F2] , [D4] , 25:10:16:42:15:833
[03] , [5B] , [00] , [05] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:15:866
[01] , [5C] , [00] , [06] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:15:933
[02] , [5B] , [00] , [07] , [DC] , [70] , [F3] , [D4] , 25:10:16:42:15:966
[03] , [5C] , [00] , [07] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:15:999
[01] , [5B] , [00] , [08] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:066
[02] , [5B] , [00] , [08] , [DC] , [70] , [F3] , [D4] , 25:10:16:42:16:099
[03] , [5C] , [00] , [08] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:16:133
[01] , [5B] , [00] , [09] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:199
[02] , [5B] , [00] , [09] , [DC] , [70] , [F3] , [D4] , 25:10:16:42:16:233
[03] , [5B] , [00] , [09] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:16:266
[01] , [5B] , [00] , [0A] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:333
