[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:003
[01] , [5A] , [00] , [A2] , [00] , [79] , [09] , [DD] , 25:10:10:37:15:003
[02] , [5A] , [00] , [A2] , [E5] , [6C] , [D9] , [D3] , 25:10:10:37:15:036
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:136
[01] , [5A] , [00] , [A3] , [00] , [79] , [0A] , [DC] , 25:10:10:37:15:136
[02] , [5A] , [00] , [A3] , [E5] , [6C] , [DA] , [D3] , 25:10:10:37:15:169
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:270
[01] , [5A] , [00] , [A4] , [00] , [79] , [0A] , [DC] , 25:10:10:37:15:270
[02] , [5A] , [00] , [A5] , [E7] , [6D] , [DC] , [D3] , 25:10:10:37:15:303
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:403
[01] , [5A] , [00] , [A6] , [00] , [79] , [0C] , [DD] , 25:10:10:37:15:403
[02] , [5A] , [00] , [A6] , [E8] , [6E] , [DD] , [D3] , 25:10:10:37:15:436
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:536
[01] , [5A] , [00] , [A7] , [00] , [79] , [0C] , [DD] , 25:10:10:37:15:536
[02] , [5A] , [00] , [A7] , [E9] , [6E] , [DE] , [D2] , 25:10:10:37:15:569
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:636
[01] , [5A] , [00] , [A8] , [00] , [79] , [0D] , [DD] , 25:10:10:37:15:669
[02] , [5A] , [00] , [A9] , [EB] , [6F] , [DF] , [D2] , 25:10:10:37:15:703
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:803
[01] , [5B] , [00] , [AA] , [01] , [79] , [0E] , [DE] , 25:10:10:37:15:803
[02] , [5B] , [00] , [AA] , [EB] , [6F] , [E0] , [D2] , 25:10:10:37:15:836
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:15:936
[01] , [5A] , [00] , [AB] , [01] , [79] , [0E] , [DE] , 25:10:10:37:15:936
[02] , [5A] , [00] , [AB] , [EC] , [6F] , [E1] , [D2] , 25:10:10:37:15:969
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:069
[01] , [5B] , [00] , [AC] , [01] , [79] , [0F] , [DE] , 25:10:10:37:16:069
[02] , [5A] , [00] , [AD] , [ED] , [70] , [E3] , [D2] , 25:10:10:37:16:103
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:202
[01] , [5A] , [00] , [AE] , [01] , [79] , [0F] , [DE] , 25:10:10:37:16:202
[02] , [5A] , [00] , [AE] , [EE] , [70] , [E3] , [D2] , 25:10:10:37:16:236
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:336
[01] , [5A] , [00] , [AF] , [01] , [79] , [10] , [DE] , 25:10:10:37:16:336
[02] , [5A] , [00] , [AF] , [EE] , [71] , [E4] , [D2] , 25:10:10:37:16:370
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:436
[01] , [5A] , [00] , [B0] , [01] , [79] , [10] , [DE] , 25:10:10:37:16:469
[02] , [5A] , [00] , [B1] , [EF] , [71] , [E6] , [D2] , 25:10:10:37:16:503
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:603
[01] , [5B] , [00] , [B2] , [01] , [78] , [10] , [DE] , 25:10:10:37:16:603
[02] , [5A] , [00] , [B2] , [EF] , [71] , [E6] , [D2] , 25:10:10:37:16:636
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:736
[01] , [5A] , [00] , [B3] , [02] , [78] , [11] , [DE] , 25:10:10:37:16:736
[02] , [5B] , [00] , [B3] , [F0] , [72] , [E7] , [D2] , 25:10:10:37:16:769
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:16:869
[01] , [5B] , [00] , [B4] , [02] , [78] , [11] , [DE] , 25:10:10:37:16:869
