[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:026
[01] , [5A] , [00] , [5D] , [B4] , [DE] , [A4] , [14] , 25:10:11:01:17:026
[02] , [5B] , [00] , [5D] , [9E] , [D3] , [C8] , [23] , 25:10:11:01:17:059
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:159
[01] , [5A] , [00] , [5E] , [B4] , [DE] , [A3] , [14] , 25:10:11:01:17:159
[02] , [5A] , [00] , [5F] , [A0] , [D1] , [C6] , [23] , 25:10:11:01:17:192
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:259
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:326
[02] , [5A] , [00] , [60] , [A1] , [D1] , [C6] , [23] , 25:10:11:01:17:326
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:427
[01] , [5A] , [00] , [61] , [B5] , [DD] , [A3] , [14] , 25:10:11:01:17:427
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:559
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:559
[01] , [5A] , [00] , [62] , [B6] , [DD] , [A2] , [14] , 25:10:11:01:17:559
[02] , [5A] , [00] , [63] , [A4] , [CD] , [C3] , [22] , 25:10:11:01:17:592
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:692
[01] , [5B] , [00] , [64] , [B8] , [DB] , [A2] , [15] , 25:10:11:01:17:692
[02] , [5B] , [00] , [64] , [A6] , [CB] , [C2] , [22] , 25:10:11:01:17:725
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:826
[01] , [5A] , [00] , [65] , [B9] , [DA] , [A1] , [14] , 25:10:11:01:17:826
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:959
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:17:959
[01] , [5A] , [00] , [66] , [B9] , [DA] , [A1] , [14] , 25:10:11:01:17:959
[02] , [5A] , [00] , [67] , [A9] , [C7] , [C2] , [23] , 25:10:11:01:17:992
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:058
[01] , [5B] , [00] , [68] , [BA] , [D9] , [A1] , [15] , 25:10:11:01:18:092
[02] , [5A] , [00] , [68] , [AA] , [C6] , [C2] , [23] , 25:10:11:01:18:158
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:259
[01] , [5B] , [00] , [69] , [BA] , [D9] , [A1] , [15] , 25:10:11:01:18:259
[02] , [5A] , [00] , [6A] , [AB] , [C5] , [C1] , [22] , 25:10:11:01:18:292
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:392
[01] , [5A] , [00] , [6B] , [BB] , [DA] , [A0] , [15] , 25:10:11:01:18:392
[02] , [5B] , [00] , [6B] , [AC] , [C5] , [C0] , [22] , 25:10:11:01:18:425
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:525
[01] , [5B] , [00] , [6C] , [BB] , [DA] , [A0] , [15] , 25:10:11:01:18:525
[02] , [5A] , [00] , [6C] , [AC] , [C4] , [C0] , [22] , 25:10:11:01:18:558
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:658
[01] , [5B] , [00] , [6D] , [BC] , [DA] , [9F] , [16] , 25:10:11:01:18:658
[02] , [5B] , [00] , [6E] , [AD] , [C3] , [C0] , [23] , 25:10:11:01:18:692
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:792
[01] , [5B] , [00] , [6F] , [BC] , [DA] , [9F] , [16] , 25:10:11:01:18:792
[02] , [5B] , [00] , [6F] , [AF] , [C2] , [C0] , [23] , 25:10:11:01:18:825
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:18:925
[01] , [5A] , [00] , [70] , [BD] , [D9] , [9F] , [16] , 25:10:11:01:18:925
[02] , [5B] , [00] , [70] , [B0] , [C0] , [C0] , [23] , 25:10:11:01:18:958
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:058
[01] , [5A] , [00] , [71] , [BE] , [D9] , [9F] , [17] , 25:10:11:01:19:058
[02] , [5B] , [00] , [72] , [B2] , [BE] , [C0] , [24] , 25:10:11:01:19:092
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:158
[01] , [5B] , [00] , [73] , [BF] , [D8] , [9E] , [17] , 25:10:11:01:19:192
[02] , [5B] , [00] , [73] , [B3] , [BD] , [C0] , [24] , 25:10:11:01:19:225
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:325
[01] , [5B] , [00] , [74] , [C1] , [D7] , [9E] , [18] , 25:10:11:01:19:325
[02] , [5A] , [00] , [74] , [B5] , [BB] , [C0] , [24] , 25:10:11:01:19:358
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:458
[01] , [5B] , [00] , [75] , [C2] , [D7] , [9D] , [18] , 25:10:11:01:19:458
[02] , [5B] , [00] , [76] , [B8] , [B9] , [BF] , [25] , 25:10:11:01:19:492
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:591
[01] , [5B] , [00] , [77] , [C5] , [D6] , [9C] , [18] , 25:10:11:01:19:591
[02] , [5A] , [00] , [77] , [B9] , [B7] , [BF] , [24] , 25:10:11:01:19:625
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:724
[01] , [5B] , [00] , [78] , [C7] , [D6] , [9B] , [18] , 25:10:11:01:19:724
[02] , [5A] , [00] , [78] , [BB] , [B7] , [BE] , [24] , 25:10:11:01:19:758
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:858
[01] , [5A] , [00] , [79] , [C8] , [D6] , [9A] , [18] , 25:10:11:01:19:858
[02] , [5A] , [00] , [7A] , [BD] , [B4] , [BF] , [25] , 25:10:11:01:19:891
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:01:19:991
[01] , [5B] , [00] , [7B] , [CA] , [D8] , [98] , [19] , 25:10:11:01:19:991
[02] , [5A] , [00] , [7B] , [BE] , [B2] , [C0] , [25] , 25:10:11:01:20:025
[03] , [5B] , [00] , [18] , [58] , [13] , [4F] , [DA] , 25:10:11:01:20:058
