[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:048
[01] , [5B] , [00] , [7C] , [05] , [85] , [05] , [1D] , 25:10:11:14:08:081
[02] , [5A] , [00] , [7C] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:115
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:248
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:248
[02] , [5A] , [00] , [7E] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:248
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:348
[01] , [5B] , [00] , [7F] , [05] , [85] , [06] , [1E] , 25:10:11:14:08:348
[02] , [5B] , [00] , [7F] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:381
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:481
[01] , [5B] , [00] , [80] , [04] , [85] , [06] , [1E] , 25:10:11:14:08:481
[02] , [5A] , [00] , [80] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:514
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:614
[01] , [5B] , [00] , [81] , [04] , [85] , [06] , [1E] , 25:10:11:14:08:614
[02] , [5A] , [00] , [82] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:648
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:748
[01] , [5B] , [00] , [83] , [05] , [85] , [06] , [1E] , 25:10:11:14:08:748
[02] , [5B] , [00] , [83] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:781
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:08:881
[01] , [5A] , [00] , [84] , [04] , [85] , [06] , [1E] , 25:10:11:14:08:881
[02] , [5B] , [00] , [84] , [00] , [8C] , [0E] , [30] , 25:10:11:14:08:914
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:014
[01] , [5A] , [00] , [85] , [04] , [85] , [06] , [1E] , 25:10:11:14:09:014
[02] , [5B] , [00] , [86] , [00] , [8C] , [0E] , [30] , 25:10:11:14:09:048
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:147
[01] , [5A] , [00] , [87] , [04] , [85] , [06] , [1E] , 25:10:11:14:09:147
[02] , [5B] , [00] , [87] , [00] , [8C] , [0E] , [30] , 25:10:11:14:09:181
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:247
[01] , [5B] , [00] , [88] , [04] , [85] , [06] , [1E] , 25:10:11:14:09:281
[02] , [5B] , [00] , [88] , [00] , [8C] , [0E] , [30] , 25:10:11:14:09:314
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:414
[01] , [5B] , [00] , [89] , [04] , [85] , [06] , [1E] , 25:10:11:14:09:414
[02] , [5B] , [00] , [8A] , [00] , [8C] , [0E] , [30] , 25:10:11:14:09:447
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:547
[01] , [5B] , [00] , [8B] , [04] , [85] , [06] , [1E] , 25:10:11:14:09:547
[02] , [5A] , [00] , [8B] , [00] , [8C] , [0E] , [30] , 25:10:11:14:09:581
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:714
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:714
[02] , [5B] , [00] , [8C] , [00] , [8C] , [0E] , [30] , 25:10:11:14:09:714
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:814
[01] , [5B] , [00] , [8D] , [05] , [85] , [06] , [1E] , 25:10:11:14:09:814
[02] , [5A] , [00] , [8E] , [00] , [8C] , [0D] , [30] , 25:10:11:14:09:847
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:09:947
[01] , [5B] , [00] , [8F] , [04] , [85] , [05] , [1E] , 25:10:11:14:09:947
