Temperature	Relative Humidity	PM2.5	TVOC	CO2	CO	Air Pressure	Ozone	NO2	Virus Index	Temperature	Humidity	Pressure	VOC	CO2	CO	NO2	PM1.0	PM2.5	PM10
19.8	72.6	14	3	539	0	1007.2	7.8	17	3	26	53.54	98463.39	39.66	668.35	0	0.01	27.03	26.8	27.03
19.7	72.7	16	1	538	0	1007.2	7.9	17.4	4	25.17	56.45	98984.73	9.6	625.82	0	0.01	32.67	32.67	32.67
19.5	73.4	7	0	533	0	1007.2	7.9	18.4	3	24.58	57.65	98998.1	14.35	677.23	0	0.01	35.38	35.02	35.38
19.6	73.2	13	0	524	0	1007.2	7.9	17.9	3	23.78	58.82	99009.17	6.45	629.1	0	0.01	31.65	31.65	31.65
19.7	72.8	11	0	525	0	1007.4	7.8	17.1	3	23.6	59.98	99019.23	2.94	627.92	0	0.01	30.14	29.17	30.14
19.8	72.6	18	1	525	0	1007.3	7.8	16.6	4	23.29	59.21	97740.18	19.56	611.26	0	0.01	29.02	28.38	29.02
20.1	72.2	21	1	522	0	1007.4	7.8	15.8	4	23.56	60.85	98847.67	19.6	629.92	0	0.01	26.87	26.55	26.87
19.9	72	19	0	519	0	1007.4	7.8	17.1	4	23.6	60.97	99038.77	7.5	618.32	0	0.01	30.07	29.85	30.07
19.8	72.4	21	0	520	0	1007.4	7.9	18	4	23.88	60.97	99045.23	124.53	680.72	0	0.01	32.15	30.78	32.15
19.8	73	14	1	519	0	1007.3	7.9	18.6	3	24.05	58.9	95694.3	235.08	659.62	0	0.01	30.72	30.61	30.72
19.6	73.2	15	5	521	0	1007.3	7.8	16.5	4	25.54	60.36	98936.07	372.52	654.15	0	0.01	32.81	30	32.81
19.5	73.8	15	7	525	0	1007.3	7.8	17	4	26.37	57.7	99063.23	353.15	623.24	0	0.01	40.5	39.61	40.5
19.5	73.7	14	13	529	0	1007.3	7.8	16.7	3	26.55	56.05	99066.68	276.83	625.7	0	0.01	31.47	30.97	31.47
19.5	73.8	14	8	532	0	1007.3	7.8	17.1	3	25.58	55.58	98229.82	116.37	609.07	0	0.01	28.2	26.7	28.2
19.5	74	10	8	541	0	1007.3	7.9	17.5	3	25.32	57.28	99072.72	55.95	584.15	0	0.01	36.72	36.05	36.72
19.5	73.6	18	1	539	0	1007.3	8	19.2	4	24.58	58.18	99074.55	31.18	667.95	0	0.01	33.45	33.45	33.45
19.4	73.9	15	2	543	0	1007.2	8	19.4	4	24.58	59	99075.6	22.38	591.2	0	0.01	36.83	36.43	36.83
19.5	73.3	24	3	540	0	1007.3	8	19.4	4	23.98	59.6	99076.73	10.54	637.77	0	0.01	41.47	41.47	41.47
19.4	73.7	17	0	540	0	1007.3	8	19.4	4	23.6	60.73	99076.73	31.73	823.58	0	0.01	39.65	39.23	39.65
19.1	74.5	28	0	529	0	1007.4	8	19.4	6	24	59.13	97397.4	228.78	984.08	0	0.01	41.15	40.63	41.15
19.1	75	21	5	527	0	1007.4	7.9	18.5	4	24.55	59.89	98923.09	293.94	812.44	0	0.01	41.24	39.27	41.24
19.2	74.3	15	8	523	0	1007.4	8	19.4	4	23.11	52.44	89560	187.48	694.45	0	0.01	35.52	35.52	35.52
19.4	73.7	26	7	527	0	1007.5	8	19.4	6	25.57	57.53	99075.75	234.68	635.13	0	0.01	35.75	34.45	35.75
19.4	73.9	13	5	528	0	1007.4	7.8	16.5	3	25.46	56.79	98655.65	309.88	622.13	0	0.01	35.18	34.32	35.18
19.4	73.6	19	2	530	0	1007.4	7.7	14.6	4	25.57	57.85	99075.58	158.8	619.37	0	0.01	37.93	35.97	37.93
19.6	73.7	29	4	532	0	1007.5	7.6	13.6	6	24.89	58.59	98957.09	50.04	649.39	0	0.01	33.43	31.47	33.43
19.8	72.5	18	7	529	0	1007.5	7.6	13.5	4	23.54	60.04	98820.56	5.85	674.87	0	0.01	28.04	27.27	28.04
19.8	72.6	22	6	531	0	1007.5	7.7	13.9	4	23.6	60.97	99079.68	0	598.53	0	0.01	34.17	33.77	34.17
19.9	71.7	11	6	526	0	1007.5	7.7	14.6	3	23.4	61.42	99080.22	24.37	650.73	0	0.01	32.42	31.77	32.42
20	71.6	18	11	527	0	1007.2	7.5	11.1	4	22.77	62.38	99080.08	7.24	612	0	0.01	34.85	34.3	34.85
20.3	69.7	18	133	558	0	1006.3	7.2	7.2	3	22.62	62.95	99079.07	1.58	614.93	0	0.01	35.5	35.45	35.5
20.4	71	18	92	595	0	1006.4	7.1	5	4	22.62	63.92	99078.7	25.4	778.47	0	0.01	43.1	41.35	43.1
20.7	70.3	13	74	616	0	1006.4	7.1	4.5	3	23.42	62.75	98657.98	121.98	724.07	0	0.01	37.55	37.48	37.55
21	69.3	16	79	643	0	1006.4	8	19.4	3	23.6	61.97	99076.75	64.32	627.1	0	0.01	34.08	34.08	34.08
21	67	12	71	664	0	1006.4	7.7	14.4	2	24.15	61.4	99076.73	277.29	613.03	0	0.01	38.07	37.78	38.07
21.1	66.6	15	83	657	0	1006.4	7.7	14.3	3	24.78	60.77	99076.73	281.2	620.82	0	0.01	37.37	36.38	37.37
21.3	65.7	11	0	637	0	1006.3	8	19.4	2	25.57	59.53	99076.73	377.21	621.58	0	0.01	37.37	36.38	37.37
21.3	65.6	8	3	656	0	1006.4	8	19.4	2	24.93	59	99077.13	99.13	683.64	0	0.01	37.91	37.8	37.91
21.4	65.3	13	11	671	0	1006.4	8	19.3	2	23.83	59.75	99076.35	51.68	634.65	0	0.01	36.38	36.38	36.38
21.4	64.9	15	23	671	0	1006.4	8	19.4	3	23.6	60.58	99075.15	3.89	612	0	0.01	35.48	33.68	35.48
21.4	65.1	7	27	673	0	1006.5	8	19.1	2	22.92	61.65	99073.22	4.07	619.32	0	0.01	34.8	33.23	34.8
21.4	65.3	13	21	683	0	1006.5	8	19.4	2	22.62	62.72	99071.05	8.06	684.92	0	0.01	38.93	38.35	38.93
21.5	64.9	17	26	691	0	1006.4	8	19.4	3	22.62	62.93	99069.4	10.48	648.92	0	0.01	37.28	37.25	37.28
21.5	65.2	13	26	695	0	1006.5	8	19.1	2	22.59	63.29	98947.21	5.86	685.85	0	0.01	40.98	40.12	40.98
21.6	65	9	25	710	0	1006.5	7.9	18	2	22.77	62.78	99065.5	111.6	623.7	0	0.01	39.63	39.63	39.63
21.6	65	5	30	719	0	1006.5	8	18.7	2	23.6	61.95	99064.3	175.27	671.6	0	0.01	40.6	40.6	40.6
21.6	64.7	12	29	730	0	1006.5	7.9	17.9	2	23.49	62.21	98598.98	83.57	648.14	0	0.01	38.85	38.85	38.85
21.5	65	12	36	738	0	1006.5	7.9	18	2	23.49	60.68	98597.57	71.6	570.4	0	0.01	36.22	35.85	36.22
21.6	65	11	32	746	0	1006.5	7.9	18	2	23.32	59.61	97143.11	65.96	646.04	0	0.01	35.9	35.73	35.9
21.6	64.6	3	33	744	0	1006.5	7.9	18.6	2	24.58	59.98	99061.98	112.92	626	0	0.01	38.77	37.43	38.77
21.7	64.3	8	32	750	0	1006.5	7.9	18.5	2	24.58	59.47	99061.98	160.88	665.7	0	0.01	33.43	31.47	33.43
21.6	64.1	4	35	757	0	1006.5	7.9	17.7	2	24.02	59.57	99061.98	76.98	619	0	0.01	37.37	36.53	37.37
21.6	64.1	3	3212	762	0	1006.5	7.7	15.2	2	23.6	60.63	99062.4	25.27	631.13	0	0.01	37.78	37.78	37.78
21.6	64.5	2	1668	766	0	1006.5	7.8	16.4	2	22.63	61.53	99062.97	3.62	549.4	0	0.01	33.32	32.85	33.32
21.6	64.2	14	2524	777	0	1006.5	7.7	14.2	2	22.49	62.27	98503.29	5.68	659.15	0	0.01	33.2	32.73	33.2
21.7	64.1	4	1478	780	0	1006.5	7.7	14.1	2	22.51	63.36	98600.26	20.52	633.62	0	0.01	36.5	36.5	36.5
21.7	64	6	1748	785	0	1006.5	7.7	14.4	2	22.62	63.83	99065.5	19.08	637.8	0	0.01	36.7	36.7	36.7
21.7	64.1	4	1401	790	0	1006.5	7.7	15.2	2	22.95	62.6	99067.9	74.72	604.53	0	0.01	36.83	36.17	36.83
21.8	63.9	13	1745	798	0	1006.5	7.7	15.1	2	23.6	61.07	99070.2	183.45	605.93	0	0.01	40.52	40.42	40.52
21.8	63.7	6	1123	808	0	1006.5	7.7	15.4	3	23.27	61.3	99072.5	68.35	581.17	0	0.01	33.65	33.65	33.65
21.8	63.7	7	1904	815	0	1006.5	7.7	14.4	3	22.62	62.8	99074.22	48.68	649.67	0	0.01	35.1	34.33	35.1
21.8	63.8	10	1184	816	0	1006.5	7.7	15.4	3	23.05	62.9	99076.22	97.28	653.75	0	0.01	34.89	33.97	34.89
21.8	64.2	2	1164	826	0	1006.4	7.7	13.8	3	23.35	61.95	99078.33	39.47	623.03	0	0.01	31.92	31.92	31.92
21.8	63.8	1	1180	829	0	1006.4	7.7	15.1	3	23.45	61.95	99079.8	29.37	588.93	0	0.01	37.15	37.15	37.15
21.8	64	3	940	831	0	1006.4	7.8	16.2	3	23.6	61.95	99082.47	86	761.73	0	0.01	34.97	34.97	34.97
21.8	63.8	5	1114	841	0	1006.3	7.8	16.5	3	23.6	61.95	99085.77	148.6	829.3	0	0.01	50.17	48.57	50.17
21.8	64.2	8	1018	852	0	1006.4	7.9	17.4	3	23.6	61.95	99088.22	83.08	729.43	0	0.01	46.1	44.83	46.1
21.8	63.9	7	971	854	0	1006.4	7.7	15.1	3	24.13	61.42	99091.02	194.08	689.77	0	0.01	40.93	40.6	40.93
21.8	63.6	8	1114	861	0	1006.4	7.7	14.7	3	25.13	60.42	99093.75	328.17	700.82	0	0.01	40.48	40.48	40.48
21.9	64.1	1	905	872	0	1006.4	7.7	15.2	3	25.57	59.45	99096.85	481.23	598.65	0	0.01	40.02	38.95	40.02
21.9	63.3	7	846	884	0	1006.4	7.7	15	3	24.4	59.25	99098.3	160.27	593.27	0	0.01	33.6	33.07	33.6
21.9	64.4	2	753	894	0	1006.3	7.7	15.3	3	23.6	60.25	99097.53	71.6	632.17	0	0.01	31.2	31.2	31.2
21.9	63.5	11	610	900	0	1006.3	7.7	15.3	3	23.33	59.5	97977.64	34.6	637.96	0	0.01	39.78	39.27	39.78
21.9	63.3	9	623	907	0	1006.4	7.7	14.6	3	23.6	60.97	99097.55	17.77	632.56	0	0.01	30.62	30.33	30.62
21.9	63.2	7	658	913	0	1006.3	7.7	14.6	3	23.6	60.95	99097.72	13.73	640.48	0	0.01	31.78	31.78	31.78
21.9	63.4	5	763	920	0	1006.3	7.7	15	3	23.6	60.58	99097.78	16.97	604.92	0	0.01	30.82	29.62	30.82
22	64.1	13	704	925	0	1006.4	7.7	15.2	3	23.6	60.97	99097.45	25.63	628.05	0	0.01	28.48	26.52	28.48
22	63.2	10	546	931	0	1006.3	7.8	16.3	3	23.6	60.97	99097.75	22.1	611.85	0	0.01	34.37	34.05	34.37
22.1	62.6	4	441	927	0	1006.3	7.9	18	3	23.47	61.1	99097.38	2.79	596.12	0	0.01	31.57	31.2	31.57
22	63.2	8	403	921	0	1006.4	8	19.3	3	22.62	61.95	99097.38	12.62	655.05	0	0.01	33.42	33.42	33.42
22	63	8	279	890	0	1006.4	8	19.4	3	22.62	61.95	99097.38	3.03	617.65	0	0.01	34.64	34.3	34.64
22	63.3	11	243	860	0	1006.3	8	19.4	3	22.62	62.03	99097.47	9.77	653.78	0	0.01	33.18	33.18	33.18
21.9	63	8	173	821	0	1006.3	8	19.4	3	22.62	62.93	99098.37	5.47	610.32	0	0.01	35.65	35.05	35.65
21.9	62.9	4	165	778	0	1006.3	8	19.4	2	22.67	62.93	99099.27	17.75	627.08	0	0.01	35.67	34.87	35.67
21.9	63.1	12	143	733	0	1006.3	8	19.4	2	23.6	61.87	99101.4	165.88	735.82	0	0.01	35.87	35.47	35.87
21.9	63.1	6	124	706	0	1006.3	8	19.4	2	24.48	60.08	99103.35	234.33	681.13	0	0.01	33.78	33.78	33.78
21.9	62.9	13	126	680	0	1006.3	7.9	17.5	2	24.58	59.98	99105.65	663.36	639.36	0	0.01	32.45	32.45	32.45
21.9	62.9	15	140	672	0	1006.3	7.8	17.1	3	25.5	59.25	98849.08	508.78	648.63	0	0.01	35.19	34.5	35.19
21.9	62.7	11	106	675	0	1006.3	8	19.4	2	25.57	57.62	99109.43	291.95	687.3	0	0.01	41.28	38.39	41.28
21.9	63.4	16	82	667	0	1006.2	8	19.4	3	25.57	57.03	99111.15	259.35	756.45	0	0.01	36.02	34.72	36.02
21.9	62.4	13	58	659	0	1006.2	7.9	18.3	2	24.77	57.3	99110.08	194.02	704.15	0	0.01	32.65	32.65	32.65
22.5	55.2	7	0	758	0	1009.5	8	19.4	1	27.21	50.75	98942.25	165.18	773.65	0	0.01	6.62	6.62	6.62
21.9	55.3	7	0	709	0	1009.5	8	19.4	1	26.22	49.52	99216.28	1.68	596.85	0	0.01	6.9	6.57	6.9
21.6	56.5	5	0	650	0	1009.6	8	19.4	1	25.57	50.15	99228.22	0.98	620.55	0	0.01	9.77	9.27	9.77
21.4	57.1	7	2	593	0	1009.6	8	19.4	1	24.6	50.48	99241.28	4.18	587.92	0	0.01	9.8	8.6	9.8
20.8	59.1	15	5	537	0	1009.6	8	19.4	2	23.67	51.48	99251.62	6.12	649.77	0	0.01	7.07	6.65	7.07
20.5	59.7	3	0	516	0	1009.6	8	19.4	1	23.6	52.15	99261.28	3.72	630.33	0	0.01	11.8	11.45	11.8
20.4	60	4	2	515	0	1009.6	8	19.4	2	22.98	53.1	99267.38	6.77	643.53	0	0.01	11.8	11.8	11.8
20.4	61.5	6	2	522	0	1009.6	8	18.7	2	22.62	53.9	99274.38	8.33	616.53	0	0.01	13.53	13.1	13.53
20.3	60.9	5	0	521	0	1009.6	8	19.4	2	23.23	54.08	99281.22	21.08	586.88	0	0.01	10.89	10.89	10.89
20.3	62.1	9	3	521	0	1009.6	8	18.6	2	23.2	53.72	99286.45	30.75	613.45	0	0.01	6.58	6.58	6.58
20.9	59	3	7	519	0	1009.6	7.9	18.9	1	23.75	53.1	99290.77	127.3	610.92	0	0.01	5.07	5.07	5.07
21.4	57.3	10	1	515	0	1009.6	7.9	18.9	1	24.58	52.33	99293.97	203.23	631.68	0	0.01	4.07	4.07	4.07
21.2	58	9	1	510	0	1009.6	7.9	18.6	1	24.55	52.05	99175.95	790.2	613.5	0	0.01	6.04	6.04	6.04
20.6	59.9	23	441	514	0	1009.5	7.8	16.9	2	25.48	51.22	99299.48	537.2	626.47	0	0.01	8.67	8.17	8.67
20.3	61.2	13	98	515	0	1009.5	8	19.1	2	25.57	51.13	99301.77	326.12	617.13	0	0.01	10.65	10.22	10.65
19.9	63.1	7	40	522	0	1009.5	8	19.4	2	25.57	50.33	99304.2	280.78	642.57	0	0.01	10.88	9.88	10.88
19.8	64.2	19	50	533	0	1009.6	7.9	18.2	3	25.4	50	98884.96	135.27	634.02	0	0.01	13.44	11.6	13.44
19.8	63.9	21	32	548	0	1009.6	8	19.3	3	24.58	51.13	99306.83	100.5	599.78	0	0.01	8.22	8.22	8.22
19.9	63.6	9	33	552	0	1009.5	8	19.2	2	24.4	50.76	98586.02	59.4	611.8	0	0.01	8.82	8.82	8.82
19.8	63.6	8	10	553	0	1009.5	8	19.4	2	24.58	51.13	99307.82	42.5	612.97	0	0.01	7.72	7.72	7.72
19.8	63.6	14	1	554	0	1009.4	8	19.4	2	24.2	51.52	99307.82	7.97	612.3	0	0.01	9.62	8.85	9.62
19.6	64.1	7	0	546	0	1009.5	8	19.4	2	23.6	52.65	99307.82	1.5	624.9	0	0.01	9.88	8.85	9.88
19.7	63.8	16	0	534	0	1009.5	8	18.9	3	22.95	53.19	98585.45	68.6	614.58	0	0.01	8.6	7.62	8.6
19.6	64.8	8	3	532	0	1009.4	7.8	16.9	2	23.52	52.32	98968.62	168.33	618.25	0	0.01	6.65	5.83	6.65
19.8	65.4	9	6	532	0	1009.4	7.8	15.6	2	24.54	51.85	99116.7	216.95	631.93	0	0.01	7.38	6.98	7.38
20.2	63	6	3	525	0	1009.4	7.9	17.5	2	24.58	51.13	99302.9	149.55	614.37	0	0.01	7.95	7.95	7.95
20.4	62.5	10	2	529	0	1009.4	7.8	17.4	2	24.58	51.13	99302.62	76.67	608.35	0	0.01	5.9	5.9	5.9
20.3	62.5	5	0	529	0	1009.4	7.9	18.2	2	24.58	51.53	99301.85	75.37	588.45	0	0.01	13.7	11.7	13.7
19.9	63	10	5	522	0	1009.5	8	19.4	2	24.4	51.32	99301.12	47.17	548.58	0	0.01	9.38	9.38	9.38
19.8	63	23	13	520	0	1009.5	8	19.4	3	23.6	52.52	99301.92	19.23	582.58	0	0.01	11.22	11.22	11.22
19.9	62.7	15	9	522	0	1009.5	8	19.4	3	23.4	52.65	98461.35	4.26	632.5	0	0.01	7.8	7.8	7.8
19.9	63.2	9	13	530	0	1009.4	8	18.8	2	23.6	53.1	99302.9	5.48	635.92	0	0.01	3.93	3.93	3.93
19.9	63.5	9	14	531	0	1009.5	8	18.5	2	23.6	53.1	99302.45	16.85	669.65	0	0.01	11.73	10.83	11.73
19.9	63.4	12	14	545	0	1009.4	7.9	18	2	23.6	53.1	99301.78	21.74	637.36	0	0.01	16.1	15	16.1
