"Date and Time","Temperature","Relative Humidity","PM2.5","TVOC","CO2","CO","Air Pressure","Ozone","NO2","Virus Index"
"2022-11-10 09:45",19.9,54.3,1,0,825,0,1010.1,8,19.4,2
"2022-11-10 09:46",19.9,54.6,1,6,853,0,1010.1,8,19.4,2
"2022-11-10 09:47",20,54.9,1,3,867,0,1010.1,8,18.9,2
"2022-11-10 09:48",19.9,55.1,1,0,878,0,1010.1,8,19.4,2
"2022-11-10 09:49",19.9,55.3,1,0,887,0,1010.1,8,19.4,2
"2022-11-10 09:50",19.8,55.4,1,3,905,0,1010.1,8,19.4,2
"2022-11-10 09:51",19.8,55.1,1,1,907,0,1010.1,8,19.1,2
"2022-11-10 09:52",19.8,55.2,1,0,909,0,1010.2,8,19.4,2
"2022-11-10 09:53",19.8,55.1,3,0,908,0,1010.1,8,19.4,2
"2022-11-10 09:54",19.8,55.1,1,14,892,0,1010.2,8,19.1,2
"2022-11-10 09:55",19.8,55.6,2,10,883,0,1010.2,8,19.4,2
"2022-11-10 09:56",19.9,55.3,1,2,888,0,1010.2,8,19.4,2
"2022-11-10 09:57",19.9,55.2,3,2,888,0,1010.1,8,19.4,2
"2022-11-10 09:58",19.9,55.2,2,0,887,0,1010.2,8,19.4,2
"2022-11-10 09:59",19.9,54.9,5,3,900,0,1010.2,8,19.4,2
"2022-11-10 10:00",19.9,55,3,5,906,0,1010.2,8,19.4,2
"2022-11-10 10:01",19.9,55,1,8,907,0,1010.2,8,19.4,2
"2022-11-10 10:02",19.8,55.1,1,9,903,0,1010.2,8,19.2,2
"2022-11-10 10:03",19.8,55.4,1,0,910,0,1010.2,8,19.4,2
"2022-11-10 10:04",19.9,55.2,4,1,909,0,1010.3,8,19.4,2
"2022-11-10 10:05",19.9,55,1,0,912,0,1010.3,8,19.4,2
"2022-11-10 10:06",19.9,55,6,5,913,0,1010.2,8,19.4,2
"2022-11-10 10:07",20,55,1,3,917,0,1010.3,8,18.8,2
"2022-11-10 10:08",20,54.9,4,2,917,0,1010.4,8,19.1,2
"2022-11-10 10:09",20,55.2,1,0,923,0,1010.4,8,18.6,2
"2022-11-10 10:10",20.1,55.1,3,0,935,0,1010.4,8,18.9,2
"2022-11-10 10:11",20.1,54.9,2,0,941,0,1010.4,8,19.4,2
"2022-11-10 10:12",20.1,55.2,3,9,946,0,1010.5,8,19.2,2
"2022-11-10 10:13",20.1,55.9,1,0,955,0,1010.5,7.8,16.6,2
"2022-11-10 10:14",20.3,56,38,0,964,0,1010.5,8,19.4,5
"2022-11-10 10:15",20.1,54.5,52,0,895,0,1011.7,8,19.4,7
"2022-11-10 10:16",18.4,58.7,6,0,806,0,1011.7,8,19.4,4
"2022-11-10 10:17",17.5,61.4,15,0,721,0,1011.7,8,19.4,5
"2022-11-10 10:18",16.6,65,15,0,630,0,1011.8,8,19.4,5
"2022-11-10 10:19",16,67,7,0,533,0,1011.8,8,19.4,4
"2022-11-10 10:20",15.3,69.9,11,0,510,0,1011.7,8,19.4,4
"2022-11-10 10:21",14.6,72.2,16,6,509,0,1011.8,8,19.4,8
"2022-11-10 10:22",14.1,73.9,6,1,507,0,1011.9,8,19.3,7
"2022-11-10 10:23",14.1,74.8,10,2,505,0,1011.9,8,19.4,7
"2022-11-10 10:24",14.9,71.7,13,6,505,0,1011.9,7.9,18,7
"2022-11-10 10:25",15.2,71.3,11,3,502,0,1011.9,7.8,17.1,5
"2022-11-10 10:26",15.3,71.4,4,21,503,0,1011.9,7.8,17.2,5
"2022-11-10 10:27",15,71.2,6,12,502,0,1012,7.9,18.6,5
"2022-11-10 10:28",15.1,71.3,10,0,502,0,1011.9,8,19.3,5
"2022-11-10 10:29",14.6,72.9,19,2,506,0,1012,8,19.4,8
"2022-11-10 10:30",14,75.7,14,34,509,0,1011.9,8,19.4,7
"2022-11-10 10:31",13.6,79.3,11,12,510,0,1011.9,7.8,16.9,7
"2022-11-10 10:32",13.2,81.3,27,0,512,0,1011.9,8,19.1,10
"2022-11-10 10:33",13.3,80.5,9,8,516,0,1012,8,19.4,8
"2022-11-10 10:34",13.2,81.8,13,0,519,0,1011.9,8,18.9,8
"2022-11-10 10:35",13.4,81.3,7,1,520,0,1011.9,8,19.4,8
"2022-11-10 10:36",13.6,79.9,9,3,523,0,1011.9,8,19.2,7
"2022-11-10 10:37",13.6,79.7,17,2,521,0,1011.9,8,19.2,8
"2022-11-10 10:38",13.8,79.6,1,2,518,0,1011.8,8,19.4,7
"2022-11-10 10:39",14.2,78,15,3,509,0,1011.9,7.9,17.4,8
"2022-11-10 10:40",14.3,77,8,2,509,0,1011.9,7.9,18.1,7
"2022-11-10 10:41",13.9,78.4,12,0,507,0,1011.9,8,18.6,7
"2022-11-10 10:42",13.5,79.7,34,1,503,0,1012,8,19.4,10
"2022-11-10 10:43",13.5,80,21,11,503,0,1012,8,19.2,9
"2022-11-10 10:44",13.4,80.2,13,6,510,0,1011.9,8,19.3,8
"2022-11-10 10:45",13.3,79.9,23,3,508,0,1011.8,8,19.4,8
"2022-11-10 10:46",13.3,79.6,12,5,512,0,1011.9,8,19.4,7
"2022-11-10 10:47",13.2,81.3,60,16,515,0,1011.8,7.9,17.9,10
"2022-11-10 10:48",13.3,80,26,17,519,0,1011.8,7.9,18.5,10
