A	B	C	D	E	F	G
26.68	35.29	35.29	33.33	17.65	10.71	9.09
15.38	37.5	12.24	16.67	17.14	10.71	15.79
27.27	33.33	8.82	16.67	16.44	10	10.26
37.5	14.29	16.22	13.95	17.14	16.67	10.71
37.5	15	15.79	15.79	15.38	10.71	16.44
7.79	10.71	4.96	35.29	7.41	6.12	9.84
8.83	10.91	9.38	17.14	8.45	8.22	17.14
8.7	33.33	9.38	17.65	8.45	7.59	35.29
10.08	10.34	4.7	5.61	7.14	5.58	3.96
4.53	9.38	6.12	5.51	5	6.98	3.85
31.58	15.59	15.79	14.29	17.65	33.33	12.77
14.93	14.63	16.22	12.77	16.9	16.67	27.27
30	14.63	16.67	13.64	31.58	16.22	27.27
17.65	17.14	17.65	9.84	12.5	14.29	30
17.91	17.14	16.22	16.67	12.77	15	30
8.49	10.26	15.79	15	15	9.84	16.22
28.57	15.38	15.38	28.57	14.63	10.34	16.22
20	16.67	18.75	15.38	9.68	15.38	16.22
20	15.79	16.22	15.38	14.29	15.38	10
18.75	10	10.71	15.38	10.34	28.57	7.23
22.25	37.5	37.5	19.35	17.65	10.91	10.17
37.5	40	10	10.53	33.33	10.34	10.17
27.27	35.29	10.71	37.5	10.53	33.33	10.91
37.5	20.69	18.18	20	10.91	35.29	10.91
30	20.69	20.69	20	10.17	10.17	10
11.32	18.75	20	18.75	18.18	17.65	8.45
11.11	17.65	26.09	31.58	16.67	18.75	18.18
21.83	18.75	20	11.11	18.75	19.35	18.75
40	20.69	20	14.63	35.29	20	19.05
20	17.65	37.5	18.75	31.58	20	37.5
31.58	35.29	9.45	7.79	19.35	10.34	8.82
28.57	28.57	10.71	10.34	35.29	10.91	10.53
30	18.47	12	8.22	18.75	11.32	10
30.79	12.24	11.54	17.65	18.75	11.11	11.32
33.33	17.65	12	12	19.35	10.91	10.71
16.67	30	9.68	9.52	7.14	10	23.08
12.63	26.09	9.68	22.65	14.29	9.84	23.08
26.09	27.27	9.68	22.22	5.88	10	10
26.09	28.57	30	9.68	6.9	9.68	9.68
21.43	26.09	28.57	23.08	25	9.68	23.08
36.4	31.58	37.5	18.75	20	18.18	37.5
10.53	36.4	37.5	20	18.18	19.35	20
37.5	37.5	37.5	11.11	35.29	10	18.18
37.5	33.33	35.29	11.54	20	11.11	19.35
37.5	28.57	10.17	11.11	20	17.14	17.65
35.29	10.17	18.75	8.7	7.55	10.17	11.11
35.29	9.52	10.17	10.17	9.52	37.5	18.75
36.4	9.31	10.44	9.52	10.91	11.11	7.79
14.46	18.18	10.17	10.53	10.17	10.91	11.11
30	8.28	10.17	18.18	10.17	10.17	9.68
38.75	9.23	11.11	10.91	8.57	10.17	35.29
17.65	10.71	11.11	9.16	9.23	8.7	33.33
18.75	33.33	10.71	10.53	9.3	37.5	18.75
16.22	10.34	8.33	8.82	10.71	10.91	10.91
11.76	10.17	11.11	10.71	8.7	35.29	9.52
40	19.35	31.58	18.75	33.33	19.35	19.35
33.33	19.35	35.29	24	31.58	19.35	11.32
12	37.5	26.09	24	10.34	19.35	35.29
10.91	19.35	33.33	19.35	10.91	18.75	11.11
11.76	37.5	26.09	31.58	33.33	19.35	10.34
